0x8940 	IEEE Std 802.1Qbg - ECP Protocol (also used in 802.1BR)
0x8946 	TRILL RBridge Channel
0x8947 	GeoNetworking as defined in ETSI EN 302 636-4-1
0x8A96-0x8A97 	Invisible Software
0x9000 	Loopback
0x9001 	3Com(Bridge) XNS Sys Mgmt
0x9002 	3Com(Bridge) TCP-IP Sys
0x9003 	3Com(Bridge) loop detect
0x9100 	Q-in-Q
0xCAFE 	Veritas Low Latency Transport (LLT) for Veritas Cluster Server
0xFF00 	BBN VITAL-LanBridge cache
0xFF00-0xFF0F 	ISC Bunker Ramo
0xFFFF 	Reserved
